Area,Perimeter,Mean Color B,Mean Color G,Mean Color R,Contrast,Energy,Homogeneity
0.0,2.0,54.5,136.0,155.5,111.3671731307477,0.1393292925861524,0.4132012880620265
6.0,10.828427076339722,54.0,103.41666666666666,97.66666666666666,111.3671731307477,0.1393292925861524,0.4132012880620265
6.0,10.828427076339722,104.91666666666666,159.75,152.66666666666666,111.3671731307477,0.1393292925861524,0.4132012880620265
0.0,2.0,39.0,74.0,73.5,111.3671731307477,0.1393292925861524,0.4132012880620265
0.0,0.0,205.0,255.0,255.0,111.3671731307477,0.1393292925861524,0.4132012880620265
0.0,0.0,192.0,234.0,233.0,111.3671731307477,0.1393292925861524,0.4132012880620265
0.0,2.0,206.5,246.0,244.5,111.3671731307477,0.1393292925861524,0.4132012880620265
60.0,34.485281229019165,49.42857142857143,150.32467532467533,223.71428571428572,111.3671731307477,0.1393292925861524,0.4132012880620265
0.0,0.0,213.0,255.0,255.0,111.3671731307477,0.1393292925861524,0.4132012880620265
27595.0,2432.7880070209503,55.3658001115138,152.84865486478952,192.3097295790354,111.3671731307477,0.1393292925861524,0.4132012880620265
